Designator,Mid X,Mid Y,Rotation,Layer
BT1,91.2,-125.7,90.0,top
C1,153.05,-124.245,0.0,top
C10,155.1375,-97.245,90.0,top
C11,142.3175,-91.745,180.0,top
C12,153.05,-94.245,0.0,top
C13,155.1375,-87.245,90.0,top
C14,142.3175,-81.745,180.0,top
C15,153.05,-84.245,0.0,top
C16,155.1375,-77.245,90.0,top
C17,142.3175,-71.745,180.0,top
C18,153.05,-74.245,0.0,top
C19,155.1375,-67.245,90.0,top
C2,142.3175,-121.745,180.0,top
C20,142.3175,-61.745,180.0,top
C21,153.05,-64.245,0.0,top
C22,155.1375,-57.245,90.0,top
C23,142.3175,-51.745,180.0,top
C24,153.05,-54.245,0.0,top
C25,116.0,-95.15,270.0,top
C3,155.1375,-127.245,90.0,top
C4,155.1375,-117.245,90.0,top
C5,142.3175,-111.745,180.0,top
C6,153.05,-114.245,0.0,top
C7,155.1375,-107.245,90.0,top
C8,142.3175,-101.745,180.0,top
C9,153.05,-104.245,0.0,top
D1,148.325,-127.245,180.0,top
D2,148.325,-117.245,180.0,top
D3,148.325,-107.245,180.0,top
D4,148.325,-97.245,180.0,top
D5,148.325,-87.245,180.0,top
D6,148.325,-77.245,180.0,top
D7,148.325,-67.245,180.0,top
D8,148.325,-57.245,180.0,top
J1,169.1,-125.245,90.0,top
J2,169.1,-115.245,90.0,top
J3,169.1,-105.245,90.0,top
J4,169.1,-95.245,90.0,top
J5,169.1,-85.245,90.0,top
J6,169.1,-75.245,90.0,top
J7,169.1,-65.245,90.0,top
J8,169.1,-55.245,90.0,top
L1,152.2625,-127.295,180.0,top
L2,152.2625,-117.295,180.0,top
L3,152.2625,-107.295,180.0,top
L4,152.2625,-97.295,180.0,top
L5,152.2625,-87.295,180.0,top
L6,152.2625,-77.295,180.0,top
L7,152.2625,-67.295,180.0,top
L8,152.2625,-57.295,180.0,top
R1,117.7,-95.1,270.0,top
R10,142.325,-113.245,0.0,top
R11,142.325,-114.745,180.0,top
R12,160.6375,-104.245,0.0,top
R13,142.325,-103.245,0.0,top
R14,142.325,-104.745,180.0,top
R15,160.6375,-94.245,0.0,top
R16,142.325,-93.245,0.0,top
R17,142.325,-94.745,180.0,top
R18,160.6375,-84.245,0.0,top
R19,142.325,-83.245,0.0,top
R2,105.2,-95.4,270.0,top
R20,142.325,-84.745,180.0,top
R21,160.6375,-74.245,0.0,top
R22,142.325,-73.245,0.0,top
R23,142.325,-74.745,180.0,top
R24,160.6375,-64.245,0.0,top
R25,142.325,-63.245,0.0,top
R26,142.325,-64.745,180.0,top
R27,160.6375,-54.245,0.0,top
R28,142.325,-53.245,0.0,top
R29,142.325,-54.745,180.0,top
R3,119.4,-95.1,90.0,top
R6,142.325,-123.245,0.0,top
R7,142.325,-124.745,180.0,top
R8,160.6375,-124.245,0.0,top
R9,160.6375,-114.245,0.0,top
SW1,127.06,-127.19,180.0,top
U1,135.325,-76.405,180.0,top
U10,147.825,-53.245,0.0,top
U11,108.5,-95.1,180.0,top
U3,147.825,-123.245,0.0,top
U4,147.825,-113.245,0.0,top
U5,147.825,-103.245,0.0,top
U6,147.825,-93.245,0.0,top
U7,147.825,-83.245,0.0,top
U8,147.825,-73.245,0.0,top
U9,147.825,-63.245,0.0,top
